"WeekCountry";"FstDose";"SecDose"
"Belgium2021-37";58460.0;80232.0
"Belgium2021-38";66077.0;81844.0
"Belgium2021-39";61229.0;75866.0
"Belgium2021-40";46937.0;51109.0
"Belgium2021-41";46021.0;55070.0
"Belgium2021-42";44811.0;47249.0
"Belgium2021-43";52275.0;49391.0
"Belgium2021-44";48268.0;35146.0
"Belgium2021-45";44941.0;37730.0
"Belgium2021-46";53357.0;49119.0
"Belgium2021-47";47027.0;44933.0
"Belgium2021-48";33074.0;40396.0
"Belgium2021-49";26385.0;42389.0
"Belgium2021-50";28255.0;41827.0
"Belgium2021-51";19925.0;31588.0
"Belgium2021-52";11614.0;12236.0
"Belgium2022-01";39126.0;28616.0
"Belgium2022-02";76630.0;25558.0
"Belgium2022-03";85338.0;14559.0
"Belgium2022-04";54685.0;26682.0
"Belgium2022-05";31158.0;58621.0
"Belgium2022-06";20807.0;74106.0
"Belgium2022-07";15987.0;56336.0
"Belgium2022-08";9931.0;35291.0
"Belgium2022-09";6128.0;15557.0
"Belgium2022-10";4391.0;19733.0
"Belgium2022-11";2353.0;9798.0
"Belgium2022-12";2155.0;6417.0
"Belgium2022-13";2017.0;5798.0
"Belgium2022-14";1337.0;1793.0
"Belgium2022-15";1248.0;1611.0
"Belgium2022-16";1627.0;2374.0
"Belgium2022-17";1607.0;1955.0
"Belgium2022-18";1536.0;1328.0
"Belgium2022-19";1715.0;1474.0
"Belgium2022-20";1584.0;1478.0
"Belgium2022-21";1100.0;1233.0
"Belgium2022-22";1628.0;1753.0
"Belgium2022-23";1002.0;1359.0
"Belgium2022-24";958.0;1487.0
"Belgium2022-25";1014.0;1477.0
"Belgium2022-26";885.0;1066.0
"Belgium2022-27";993.0;821.0
"Belgium2022-28";944.0;851.0
"Belgium2022-29";500.0;544.0
"Belgium2022-30";881.0;819.0
"Belgium2022-31";731.0;818.0
"Belgium2022-32";566.0;560.0
"Belgium2022-33";727.0;662.0
"Belgium2022-34";737.0;778.0
"Belgium2022-35";469.0;489.0
"Belgium2022-36";373.0;301.0
"Belgium2022-37";662.0;543.0
"Belgium2022-38";893.0;577.0
"Belgium2022-39";608.0;425.0
"Belgium2022-40";859.0;636.0
"Belgium2022-41";579.0;470.0
"Belgium2022-42";666.0;443.0
"Belgium2022-43";917.0;666.0
"Belgium2022-44";272.0;213.0
"Belgium2022-45";408.0;426.0
"Belgium2022-46";419.0;674.0
"Belgium2022-47";257.0;338.0
"Belgium2022-48";247.0;339.0
"Belgium2022-49";345.0;408.0
"Belgium2022-50";140.0;163.0
"Belgium2022-51";201.0;255.0
"Belgium2022-52";92.0;84.0
"Belgium2023-01";76.0;75.0
"Belgium2023-02";121.0;98.0
"Belgium2023-03";68.0;56.0
"Belgium2023-04";42.0;23.0
"Belgium2023-05";47.0;46.0
"Belgium2023-06";35.0;36.0
"Belgium2023-07";26.0;27.0
"Belgium2023-08";16.0;30.0
"Belgium2023-09";14.0;26.0
"Belgium2023-10";11.0;20.0
"Belgium2023-11";18.0;11.0
"Belgium2023-12";18.0;12.0
"Belgium2023-13";9.0;9.0
"Belgium2023-14";28.0;11.0
"Belgium2023-15";12.0;10.0
"Belgium2023-16";11.0;2.0
"Belgium2023-17";13.0;20.0
"Belgium2023-18";14.0;11.0
"Belgium2023-19";6.0;8.0
"Belgium2023-20";3.0;8.0
"Belgium2023-21";3.0;4.0
"Belgium2023-22";9.0;11.0
"Belgium2023-23";10.0;11.0
"Belgium2023-24";4.0;3.0
"Belgium2023-25";0.0;2.0
"Belgium2023-26";5.0;3.0
"Belgium2023-27";16.0;8.0
"Belgium2023-28";0.0;11.0
"Belgium2023-29";0.0;0.0
"Belgium2023-30";0.0;4.0
"Belgium2023-31";1.0;1.0
"Belgium2023-32";0.0;2.0
"Belgium2023-33";0.0;2.0
"Belgium2023-34";8.0;2.0
"Belgium2023-35";0.0;0.0
"Bulgaria2020-52";0.0;0.0
"Bulgaria2020-53";14060.0;0.0
"Bulgaria2021-01";25431.0;0.0
"Bulgaria2021-02";14434.0;308.0
"Bulgaria2021-03";9302.0;13394.0
"Bulgaria2021-04";18451.0;24736.0
"Bulgaria2021-05";28372.0;12795.0
"Bulgaria2021-06";32383.0;9062.0
"Bulgaria2021-07";78251.0;16655.0
"Bulgaria2021-08";167813.0;25981.0
"Bulgaria2021-09";128817.0;28451.0
"Bulgaria2021-10";85426.0;18359.0
"Bulgaria2021-11";37131.0;26928.0
"Bulgaria2021-12";103751.0;34940.0
"Bulgaria2021-13";111347.0;26472.0
"Bulgaria2021-14";115149.0;27156.0
"Bulgaria2021-15";102250.0;32108.0
"Bulgaria2021-16";100006.0;73303.0
"Bulgaria2021-17";99344.0;106710.0
"Bulgaria2021-18";75603.0;153795.0
"Bulgaria2021-19";112716.0;247983.0
"Bulgaria2021-20";116005.0;174476.0
"Bulgaria2021-21";83338.0;102947.0
"Bulgaria2021-22";78638.0;144771.0
"Bulgaria2021-23";76920.0;149913.0
"Bulgaria2021-24";66507.0;100628.0
"Bulgaria2021-25";59982.0;75458.0
"Bulgaria2021-26";57651.0;69581.0
"Bulgaria2021-27";67336.0;56032.0
"Bulgaria2021-28";68087.0;50561.0
"Bulgaria2021-29";65455.0;46706.0
"Bulgaria2021-30";73828.0;50274.0
"Bulgaria2021-31";77533.0;48686.0
"Bulgaria2021-32";75251.0;46633.0
"Bulgaria2021-33";76756.0;51188.0
"Bulgaria2021-34";84499.0;54418.0
"Bulgaria2021-35";79190.0;51819.0
"Bulgaria2021-36";59270.0;47119.0
