YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2020-W53,SE,300083,,,0,,0,0,0,0,0,0,0,SE32,ALL,MOD,10327589
2020-W53,SE,300083,,,0,,0,0,0,0,0,0,0,SE32,ALL,AZ,10327589
2020-W53,SE,1869079,,,1264,,0,0,0,0,0,0,0,SE11,ALL,COM,10327589
2020-W53,SE,1869079,,,0,,0,0,0,0,0,0,0,SE11,ALL,NVXD,10327589
2020-W53,SE,1869079,,,0,,0,0,0,0,0,0,0,SE11,ALL,MOD,10327589
2020-W53,SE,1869079,,,0,,0,0,0,0,0,0,0,SE11,ALL,AZ,10327589
2020-W53,SE,1634831,,,1321,,0,0,0,0,0,0,0,SE23,ALL,COM,10327589
2020-W53,SE,1634831,,,0,,0,0,0,0,0,0,0,SE23,ALL,NVXD,10327589
2020-W53,SE,1634831,,,0,,0,0,0,0,0,0,0,SE23,ALL,MOD,10327589
2020-W53,SE,1634831,,,0,,0,0,0,0,0,0,0,SE23,ALL,AZ,10327589
2020-W53,SE,1370970,,,3081,,0,0,0,0,0,0,0,SE12,ALL,COM,10327589
2020-W53,SE,1370970,,,0,,0,0,0,0,0,0,0,SE12,ALL,NVXD,10327589
2020-W53,SE,1370970,,,0,,0,0,0,0,0,0,0,SE12,ALL,MOD,10327589
2020-W53,SE,1370970,,,0,,0,0,0,0,0,0,0,SE12,ALL,AZ,10327589
2020-W53,SE,1310245,,,1078,,0,0,0,0,0,0,0,SE,Age50_59,COM,10327589
2020-W53,SE,1310245,,,0,,0,0,0,0,0,0,0,SE,Age50_59,NVXD,10327589
2020-W53,SE,1310245,,,0,,0,0,0,0,0,0,0,SE,Age50_59,MOD,10327589
2020-W53,SE,1310245,,,0,,0,0,0,0,0,0,0,SE,Age50_59,AZ,10327589
2020-W53,SE,1216531,,,1184,,0,0,0,0,0,0,0,SE22,ALL,COM,10327589
2020-W53,SE,1216531,,,0,,0,0,0,0,0,0,0,SE22,ALL,NVXD,10327589
2020-W53,SE,1216531,,,0,,0,0,0,0,0,0,0,SE22,ALL,MOD,10327589
2020-W53,SE,1216531,,,0,,0,0,0,0,0,0,0,SE22,ALL,AZ,10327589
2020-W53,SE,1105960,,,971,,0,0,0,0,0,0,0,SE,Age60_69,COM,10327589
2020-W53,SE,1105960,,,0,,0,0,0,0,0,0,0,SE,Age60_69,NVXD,10327589
2020-W53,SE,1105960,,,0,,0,0,0,0,0,0,0,SE,Age60_69,MOD,10327589
2020-W53,SE,1105960,,,0,,0,0,0,0,0,0,0,SE,Age60_69,AZ,10327589
2020-W53,SE,1007632,,,1417,,0,0,0,0,0,0,0,SE,Age70_79,COM,10327589
2020-W53,SE,1007632,,,0,,0,0,0,0,0,0,0,SE,Age70_79,NVXD,10327589
2020-W53,SE,1007632,,,0,,0,0,0,0,0,0,0,SE,Age70_79,MOD,10327589
2020-W53,SE,1007632,,,0,,0,0,0,0,0,0,0,SE,Age70_79,AZ,10327589
2020-W53,PT,8596565,70200,,30970,,23,15,0,0,0,0,91,PT,ALL,COM,10295909
2020-W53,PT,8596565,0,,47,,0,0,0,0,0,0,0,PT,ALL,MOD,10295909
2020-W53,PT,8596565,0,,3,,0,0,0,0,0,0,0,PT,ALL,JANSS,10295909
2020-W53,PT,8596565,0,,11,,0,0,0,0,0,0,0,PT,ALL,AZ,10295909
2020-W53,PT,8596565,0,,1,,0,0,0,0,0,0,0,PT,ALL,COMBA.1,10295909
2020-W53,PT,8596565,0,,0,,3,0,0,0,0,0,0,PT,ALL,BECNBG,10295909
2020-W53,PT,8596565,0,,0,,1,0,0,0,0,0,0,PT,ALL,SIN,10295909
2020-W53,PT,781175,,,3,,0,0,0,0,0,0,0,PT,Age18_24,MOD,10295909
2020-W53,PT,781175,,,2,,0,0,0,0,0,0,0,PT,Age18_24,AZ,10295909
2020-W53,PT,781175,,,1202,,1,0,0,0,0,0,0,PT,Age18_24,COM,10295909
2020-W53,PT,681590,,,273,,1,0,0,0,0,0,1,PT,Age80+,COM,10295909
2020-W53,PT,501888,,,1,,0,0,0,0,0,0,0,PT,Age10_14,COM,10295909
2020-W53,PT,3331561,,,8,,0,0,0,0,0,0,0,PT,Age25_49,AZ,10295909
2020-W53,PT,3331561,,,20908,,15,0,0,0,0,0,78,PT,Age25_49,COM,10295909
2020-W53,PT,3331561,,,15,,0,0,0,0,0,0,0,PT,Age25_49,MOD,10295909
2020-W53,PT,3331561,,,0,,3,0,0,0,0,0,0,PT,Age25_49,BECNBG,10295909
2020-W53,PT,319059,,,2,,0,0,0,0,0,0,0,PT,Age15_17,COM,10295909
2020-W53,PT,1487750,,,8,,0,0,0,0,0,0,0,PT,Age50_59,MOD,10295909
2020-W53,PT,1487750,,,5861,,3,2,0,0,0,0,10,PT,Age50_59,COM,10295909
2020-W53,PT,1487750,,,1,,0,0,0,0,0,0,0,PT,Age50_59,JANSS,10295909
2020-W53,PT,1487750,,,0,,1,0,0,0,0,0,0,PT,Age50_59,SIN,10295909
2020-W53,PT,1314272,,,2575,,3,13,0,0,0,0,2,PT,Age60_69,COM,10295909
2020-W53,PT,1314272,,,13,,0,0,0,0,0,0,0,PT,Age60_69,MOD,10295909
2020-W53,PT,1314272,,,1,,0,0,0,0,0,0,0,PT,Age60_69,JANSS,10295909
2020-W53,PT,1314272,,,1,,0,0,0,0,0,0,0,PT,Age60_69,COMBA.1,10295909
2020-W53,PT,1314272,,,1,,0,0,0,0,0,0,0,PT,Age60_69,AZ,10295909
2020-W53,PT,1000217,,,8,,0,0,0,0,0,0,0,PT,Age70_79,MOD,10295909
2020-W53,PT,1000217,,,151,,0,0,0,0,0,0,0,PT,Age70_79,COM,10295909
2020-W53,PT,1000217,,,1,,0,0,0,0,0,0,0,PT,Age70_79,JANSS,10295909
2020-W53,PT,,,,9599,,7,7,0,0,0,0,4,PTCSR05,ALL,COM,10295909
2020-W53,PT,,,,8,,0,0,0,0,0,0,0,PTCSR04,ALL,MOD,10295909
2020-W53,PT,,,,641,,0,0,0,0,0,0,0,PTCSR06,ALL,COM,10295909
2020-W53,PT,,,,6,,0,0,0,0,0,0,0,PTCSR02,ALL,MOD,10295909
2020-W53,PT,,,,5863,,3,1,0,0,0,0,0,PTCSR04,ALL,COM,10295909
2020-W53,PT,,,,5,,0,0,0,0,0,0,0,PTCSR07,ALL,AZ,10295909
2020-W53,PT,,,,3,,0,0,0,0,0,0,0,PTCSR05,ALL,AZ,10295909
2020-W53,PT,,,,2012,,1,0,0,0,0,0,1,PTCSR03,ALL,COM,10295909
2020-W53,PT,,,,2,,0,2,0,0,0,0,2,PT,AgeUNK,COM,10295909
2020-W53,PT,,,,2,,0,0,0,0,0,0,0,PTCSR05,ALL,JANSS,10295909
2020-W53,PT,,,,2,,0,0,0,0,0,0,0,PTCSR04,ALL,AZ,10295909
2020-W53,PT,,,,17,,0,0,0,0,0,0,0,PTCSR05,ALL,MOD,10295909
2020-W53,PT,,,,14,,0,0,0,0,0,0,0,PTCSR07,ALL,MOD,10295909
2020-W53,PT,,,,1236,,0,1,0,0,0,0,0,PTCSR01,ALL,COM,10295909
2020-W53,PT,,,,1121,,2,0,0,0,0,0,86,PTCSR02,ALL,COM,10295909
2020-W53,PT,,,,10496,,10,8,0,0,0,0,2,PTCSR07,ALL,COM,10295909
2020-W53,PT,,,,1,,0,0,0,0,0,0,0,PTCSR05,ALL,COMBA.1,10295909
2020-W53,PT,,,,1,,0,0,0,0,0,0,0,PTCSR04,ALL,JANSS,10295909
2020-W53,PT,,,,1,,0,0,0,0,0,0,0,PTCSR03,ALL,MOD,10295909
2020-W53,PT,,,,1,,0,0,0,0,0,0,0,PTCSR02,ALL,AZ,10295909
2020-W53,PT,,,,1,,0,0,0,0,0,0,0,PTCSR01,ALL,MOD,10295909
2020-W53,PT,,,,0,,2,0,0,0,0,0,0,PTCSR05,ALL,BECNBG,10295909
2020-W53,PT,,,,0,,1,0,0,0,0,0,0,PTCSR07,ALL,SIN,10295909
2020-W53,PT,,,,0,,1,0,0,0,0,0,0,PTCSR07,ALL,BECNBG,10295909
2020-W53,PL,99636,,,0,,0,0,0,0,0,0,0,PL81,Age5_9,NVXD,37958138
2020-W53,PL,99636,,,0,,0,0,0,0,0,0,0,PL81,Age5_9,MOD,37958138
2020-W53,PL,99636,,,0,,0,0,0,0,0,0,0,PL81,Age5_9,JANSS,37958138
2020-W53,PL,99636,,,0,,0,0,0,0,0,0,0,PL81,Age5_9,COM,37958138
2020-W53,PL,99636,,,0,,0,0,0,0,0,0,0,PL81,Age5_9,AZ,37958138
2020-W53,PL,98533,,,9,,0,0,0,0,0,0,0,PL81,Age80+,COM,37958138
2020-W53,PL,98533,,,0,,0,0,0,0,0,0,0,PL81,Age80+,NVXD,37958138
2020-W53,PL,98533,,,0,,0,0,0,0,0,0,0,PL81,Age80+,MOD,37958138
2020-W53,PL,98533,,,0,,0,0,0,0,0,0,0,PL81,Age80+,JANSS,37958138
2020-W53,PL,98533,,,0,,0,0,0,0,0,0,0,PL81,Age80+,AZ,37958138
2020-W53,PL,98304,,,2,,0,0,0,0,0,0,0,PL21,Age15_17,COM,37958138
2020-W53,PL,98304,,,0,,0,0,0,0,0,0,0,PL21,Age15_17,NVXD,37958138
2020-W53,PL,98304,,,0,,0,0,0,0,0,0,0,PL21,Age15_17,MOD,37958138
2020-W53,PL,98304,,,0,,0,0,0,0,0,0,0,PL21,Age15_17,JANSS,37958138
2020-W53,PL,98304,,,0,,0,0,0,0,0,0,0,PL21,Age15_17,AZ,37958138
2020-W53,PL,97432,,,0,,0,0,0,0,0,0,0,PL61,Age0_4,NVXD,37958138
2020-W53,PL,97432,,,0,,0,0,0,0,0,0,0,PL61,Age0_4,MOD,37958138
