DATAFLOW,LAST UPDATE,freq,unit,tra_meas,rep_airp,schedule,tra_cov,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-02,14939,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-03,26414,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-04,42595,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-05,61839,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-06,68682,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-07,64965,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-08,62595,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-09,66689,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-10,52714,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-11,48004,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-12,36796,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-01,30751,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-02,35055,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-03,43386,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-04,51942,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-05,67141,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-06,76318,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-07,80782,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-08,77908,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-01,168514,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-02,185802,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-03,208800,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-04,78737,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-05,52168,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-06,68116,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-07,67125,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-08,63842,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-09,60897,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-10,42241,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-11,42420,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-12,112032,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-01,176463,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-02,197586,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-03,77560,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-04,143,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-06,493,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-07,8807,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-08,11878,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-09,9450,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-10,3990,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-11,1310,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-12,2128,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2021-01,1312,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2021-02,959,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2021-03,1188,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2021-04,1188,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2021-05,2070,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2021-06,8032,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2021-07,19275,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2021-08,24659,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2021-09,16562,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2021-10,5070,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2021-11,9163,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2021-12,37163,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2022-01,82330,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2022-02,123226,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2022-03,141731,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2022-04,51134,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2022-05,27369,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2022-06,40630,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2022-07,42581,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2022-08,43371,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2022-09,40572,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2022-10,23496,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2022-11,21659,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2022-12,88460,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2023-01,150131,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2023-02,164391,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2023-03,168452,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2023-04,54393,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2023-05,31325,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2023-06,44454,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2023-07,46318,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2023-08,45017,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2019-01,18029,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2019-02,16438,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2019-03,18430,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2019-04,14687,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2019-05,16633,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2019-06,20062,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2019-07,21344,
